deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.33	-0.104109822263362	-0.15121090066966	-0.0570087438570648	487	sample	1	ROM
0.33	-0.106800571268962	-0.154466162639608	-0.0591349798983158	487	sample	1	ROM
0.34	-0.105047259455621	-0.1524066535559	-0.0576878653553416	487	sample	1	ROM
0.34	-0.104390506645825	-0.151352953568755	-0.0574280597228951	487	sample	1	ROM
0.35	-0.108075631279774	-0.155671740516887	-0.0604795220426606	487	sample	1	ROM
0.35	-0.106735396936033	-0.153819726660277	-0.0596510672117888	487	sample	1	ROM
0.36	-0.106025492383378	-0.153027585800095	-0.0590233989666615	487	sample	1	ROM
0.36	-0.104633270791229	-0.152075369460773	-0.0571911721216863	487	sample	1	ROM
0.37	-0.107788109783943	-0.155787840656524	-0.0597883789113624	487	sample	1	ROM
0.37	-0.104710352428294	-0.151817501308444	-0.057603203548143	487	sample	1	ROM
0.38	-0.105621173073097	-0.152758749923782	-0.0584835962224127	487	sample	1	ROM
0.38	-0.114943429577483	-0.165787476186117	-0.0640993829688492	487	sample	1	ROM
0.39	-0.106949404128342	-0.15381041937614	-0.0600883888805433	487	sample	1	ROM
0.39	-0.101345224708186	-0.147647283734565	-0.0550431656818077	487	sample	1	ROM
0.4	-0.106876296021951	-0.154042649633378	-0.0597099424105239	487	sample	1	ROM
0.4	-0.108131149278121	-0.155815762360447	-0.0604465361957958	487	sample	1	ROM
0.41	-0.103726016779349	-0.150603376637205	-0.0568486569214921	487	sample	1	ROM
0.41	-0.106954304096801	-0.154803080987552	-0.0591055272060497	487	sample	1	ROM
0.42	-0.106871110611569	-0.154493257294469	-0.0592489639286686	487	sample	1	ROM
0.42	-0.105800937637224	-0.152820998335064	-0.0587808769393837	487	sample	1	ROM
0.43	-0.10584318190797	-0.152993159205313	-0.0586932046106272	487	sample	1	ROM
0.43	-0.103943787958819	-0.150632269955326	-0.0572553059623118	487	sample	1	ROM
0.44	-0.105065915642274	-0.15208840708385	-0.058043424200699	487	sample	1	ROM
0.44	-0.105259220891938	-0.152881930571707	-0.0576365112121685	487	sample	1	ROM
0.45	-0.107525958338131	-0.155142123160063	-0.0599097935161991	487	sample	1	ROM
0.45	-0.106408640385222	-0.153282895965263	-0.0595343848051812	487	sample	1	ROM
0.46	-0.106546061814861	-0.153348584985452	-0.0597435386442702	487	sample	1	ROM
0.46	-0.107147260524813	-0.154781575656149	-0.059512945393476	487	sample	1	ROM
0.47	-0.110753301834363	-0.15854331537851	-0.0629632882902159	487	sample	1	ROM
0.47	-0.109896932549697	-0.157633646180218	-0.0621602189191757	487	sample	1	ROM
0.48	-0.107493310561283	-0.154914054833934	-0.060072566288631	487	sample	1	ROM
0.48	-0.105730503831656	-0.152990050412706	-0.0584709572506056	487	sample	1	ROM
0.49	-0.107744404375339	-0.155240203371757	-0.060248605378922	487	sample	1	ROM
0.49	-0.108014254734468	-0.155595121607968	-0.0604333878609689	487	sample	1	ROM
0.5	-0.107006623507621	-0.154219492616013	-0.0597937543992288	487	sample	1	ROM
0.5	-0.105739513492363	-0.152781945063173	-0.058697081921553	487	sample	1	ROM
0.51	-0.106652192595988	-0.153985330824607	-0.0593190543673681	487	sample	1	ROM
0.51	-0.106276896943019	-0.153719909757114	-0.0588338841289247	487	sample	1	ROM
0.52	-0.110582879243922	-0.158547969889922	-0.0626177885979228	487	sample	1	ROM
0.52	-0.105494245874299	-0.152581123129424	-0.0584073686191737	487	sample	1	ROM
0.53	-0.107726084357167	-0.155560179984135	-0.0598919887301979	487	sample	1	ROM
0.53	-0.107603480538426	-0.155168471860164	-0.0600384892166886	487	sample	1	ROM
0.54	-0.107343918504956	-0.154848377535399	-0.0598394594745125	487	sample	1	ROM
0.54	-0.109449725435054	-0.157227421183806	-0.0616720296863029	487	sample	1	ROM
0.55	-0.112403137664569	-0.161135257629624	-0.0636710176995131	487	sample	1	ROM
0.55	-0.1052874886832	-0.152615275180472	-0.0579597021859275	487	sample	1	ROM
0.56	-0.110987757632911	-0.159351207389872	-0.0626243078759491	487	sample	1	ROM
0.56	-0.110928699513591	-0.158113527359749	-0.0637438716674337	487	sample	1	ROM
0.57	-0.108297941643965	-0.15590989672027	-0.0606859865676592	487	sample	1	ROM
0.57	-0.112487173024142	-0.160696458064625	-0.0642778879836595	487	sample	1	ROM
0.58	-0.105978738662707	-0.153401215673778	-0.0585562616516368	487	sample	1	ROM
0.58	-0.106310060558943	-0.153398821120239	-0.0592212999976468	487	sample	1	ROM
0.59	-0.106798852394062	-0.153806686548794	-0.0597910182393287	487	sample	1	ROM
0.59	-0.107197354536852	-0.154465657741816	-0.0599290513318882	487	sample	1	ROM
0.6	-0.109548193463002	-0.157703265696899	-0.0613931212291043	487	sample	1	ROM
0.6	-0.107199590575528	-0.154403946452578	-0.0599952346984769	487	sample	1	ROM
