deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.65	-0.138162628581583	-0.230525789917773	-0.0457994672453932	170	na.omit	1	ROM
0.65	-0.143457165683098	-0.263141592706257	-0.0237727386599402	170	na.omit	1	ROM
0.66	-0.126533466720393	-0.241152942309091	-0.0119139911316941	166	na.omit	1	ROM
0.66	-0.22299964152523	-0.321869168749416	-0.124130114301044	166	na.omit	1	ROM
0.67	-0.129625881844325	-0.246141476295893	-0.013110287392756	161	na.omit	1	ROM
0.67	-0.211514318527898	-0.335159757244165	-0.08786887981163	161	na.omit	1	ROM
0.68	-0.26431091879716	-0.395395156213422	-0.133226681380898	156	na.omit	1	ROM
0.68	-0.212279338430499	-0.313979753134492	-0.110578923726506	156	na.omit	1	ROM
0.69	-0.23155283951651	-0.346238569892486	-0.116867109140534	151	na.omit	1	ROM
0.69	-0.152716741078362	-0.262552484276658	-0.0428809978800663	151	na.omit	1	ROM
0.7	-0.216577642675053	-0.344798873568769	-0.0883564117813364	146	na.omit	1	ROM
0.7	-0.247558982188014	-0.387237019818191	-0.107880944557837	146	na.omit	1	ROM
0.71	-0.15350679398314	-0.254289086484122	-0.0527245014821574	141	na.omit	1	ROM
0.71	-0.225928803046827	-0.352411810725133	-0.0994457953685201	141	na.omit	1	ROM
0.72	-0.114314697739158	-0.221198112789061	-0.00743128268925641	136	na.omit	1	ROM
0.72	-0.199263003155687	-0.312592014255076	-0.0859339920562976	136	na.omit	1	ROM
0.73	-0.252617561762049	-0.401174301068209	-0.104060822455888	131	na.omit	1	ROM
0.73	-0.198608040618963	-0.332063626995797	-0.0651524542421282	131	na.omit	1	ROM
0.74	-0.20659399408432	-0.330700958784491	-0.0824870293841481	127	na.omit	1	ROM
0.74	-0.220724336694606	-0.365560341637656	-0.0758883317515555	127	na.omit	1	ROM
0.75	-0.227011652132984	-0.34013826151399	-0.113885042751978	122	na.omit	1	ROM
0.75	-0.168083591460822	-0.316978895001253	-0.0191882879203906	122	na.omit	1	ROM
0.76	-0.176126098612671	-0.32443262847607	-0.0278195687492732	117	na.omit	1	ROM
0.76	-0.229210369573034	-0.384340096367021	-0.0740806427790458	117	na.omit	1	ROM
0.77	-0.237857383464315	-0.369251567056817	-0.106463199871814	112	na.omit	1	ROM
0.77	-0.176198144149262	-0.346834170718899	-0.00556211757962377	112	na.omit	1	ROM
0.78	-0.164273324438801	-0.290884275972415	-0.037662372905187	107	na.omit	1	ROM
0.78	-0.218743503645767	-0.355910913928809	-0.0815760933627259	107	na.omit	1	ROM
0.79	-0.250783239471969	-0.387202026383792	-0.114364452560146	102	na.omit	1	ROM
0.79	-0.173697375114301	-0.310457235399102	-0.0369375148295003	102	na.omit	1	ROM
0.8	-0.218534961139702	-0.355843922698483	-0.0812259995809199	97	na.omit	1	ROM
0.8	-0.148582774969413	-0.289823747708391	-0.0073418022304354	97	na.omit	1	ROM
0.81	-0.267775013170036	-0.453301577340646	-0.0822484489994254	93	na.omit	1	ROM
0.81	-0.126524918425533	-0.265471219041776	0.0124213821907097	93	na.omit	1	ROM
0.82	-0.315733527094283	-0.493925879070538	-0.137541175118029	88	na.omit	1	ROM
0.82	-0.276729331128081	-0.432526863561753	-0.120931798694409	88	na.omit	1	ROM
0.83	-0.247774045774646	-0.459963571233476	-0.0355845203158152	83	na.omit	1	ROM
0.83	-0.243597524459373	-0.444922989245583	-0.0422720596731623	83	na.omit	1	ROM
0.84	-0.213774158570302	-0.422999354351173	-0.00454896278943123	78	na.omit	1	ROM
0.84	-0.339189260738472	-0.522354219695674	-0.156024301781271	78	na.omit	1	ROM
0.85	-0.378051166253737	-0.579631696441159	-0.176470636066314	73	na.omit	1	ROM
0.85	-0.207544369758128	-0.410839284199771	-0.00424945531648599	73	na.omit	1	ROM
0.86	-0.294766455884219	-0.479565435774385	-0.109967475994053	68	na.omit	1	ROM
0.86	-0.219505268133907	-0.452859398072953	0.013848861805139	68	na.omit	1	ROM
0.87	-0.189783198209595	-0.375898677005093	-0.00366771941409641	63	na.omit	1	ROM
0.87	-0.203256421940567	-0.455354346487275	0.0488415026061415	63	na.omit	1	ROM
0.88	-0.306496913424797	-0.530196422319999	-0.0827974045295961	58	na.omit	1	ROM
0.88	-0.300282690088616	-0.483023051780423	-0.117542328396809	58	na.omit	1	ROM
0.89	-0.277901136510612	-0.536561265456147	-0.0192410075650773	54	na.omit	1	ROM
0.89	-0.40741604321622	-0.731523269866046	-0.0833088165663944	54	na.omit	1	ROM
0.9	-0.169273028757377	-0.360217792128218	0.0216717346134635	49	na.omit	1	ROM
0.9	-0.287396713012279	-0.553272452990044	-0.021520973034515	49	na.omit	1	ROM
0.91	-0.150842648506099	-0.463787949055839	0.162102652043641	44	na.omit	1	ROM
0.91	-0.370085123423697	-0.639003838315605	-0.101166408531789	44	na.omit	1	ROM
0.92	-0.302813568748898	-0.531995075164701	-0.0736320623330937	39	na.omit	1	ROM
0.92	-0.276931188521576	-0.450376607872755	-0.103485769170398	39	na.omit	1	ROM
0.93	-0.304774488301979	-0.578655932534699	-0.030893044069259	34	na.omit	1	ROM
0.93	-0.415377546704368	-0.813844117109097	-0.0169109762996388	34	na.omit	1	ROM
0.94	-0.328613876107746	-0.572529252200813	-0.0846985000146796	29	na.omit	1	ROM
0.94	-0.3437508391091	-0.675623584497454	-0.0118780937207466	29	na.omit	1	ROM
0.95	-0.165582591446615	-0.506940908969092	0.175775726075861	24	na.omit	1	ROM
0.95	-0.779273846345031	-1.34246779489015	-0.216079897799911	24	na.omit	1	ROM
0.96	-0.130370876380097	-0.550980937768674	0.290239185008479	19	na.omit	1	ROM
0.96	-0.778703891755492	-1.39398214672728	-0.163425636783704	19	na.omit	1	ROM
0.97	-0.616102530544765	-1.21582864585412	-0.0163764152354061	15	na.omit	1	ROM
0.97	-0.761498370636772	-1.45519713789552	-0.0677996033780217	15	na.omit	1	ROM
0.98	-0.0471117046811545	-0.757134719772941	0.662911310410632	10	na.omit	1	ROM
0.98	-0.274078204218797	-0.694263043666602	0.146106635229009	10	na.omit	1	ROM
0.02	-0.106589713689553	-0.153421083113269	-0.0597583442658364	487	sample	1	ROM
0.02	-0.105752244458724	-0.152750904437363	-0.0587535844800842	487	sample	1	ROM
0.03	-0.106550555818507	-0.1535663445935	-0.0595347670435148	487	sample	1	ROM
0.03	-0.105305086619636	-0.152034433594196	-0.0585757396450756	487	sample	1	ROM
0.04	NA	NA	NA	NA	sample	1	ROM
0.04	-0.106114348659665	-0.15305887570487	-0.0591698216144606	487	sample	1	ROM
0.05	-0.102118947938639	-0.147999207153062	-0.056238688724217	487	sample	1	ROM
0.05	-0.106911305293025	-0.154161046646259	-0.0596615639397908	487	sample	1	ROM
0.06	-0.107396602680948	-0.154622022893754	-0.0601711824681415	487	sample	1	ROM
0.06	-0.106203387444926	-0.153369979535147	-0.059036795354705	487	sample	1	ROM
0.07	-0.107508678898036	-0.154797277552785	-0.0602200802432869	487	sample	1	ROM
0.07	-0.0938770870661755	-0.135290043619846	-0.052464130512505	487	sample	1	ROM
0.08	-0.106592471337222	-0.1543204267517	-0.0588645159227447	487	sample	1	ROM
