deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.8	-0.0985873757800815	-0.148433808505789	-0.0487409430543742	487	sample	1	ROM
0.8	NA	NA	NA	NA	sample	1	ROM
0.85	-0.115319470554383	-0.169752238190391	-0.0608867029183758	487	sample	1	ROM
0.85	NA	NA	NA	NA	sample	1	ROM
0.9	NA	NA	NA	NA	sample	1	ROM
0.9	-0.0883851911696605	-0.136236943992178	-0.0405334383471425	487	sample	1	ROM
0.1	-0.10927274704455	-0.157650004544599	-0.0608954895445003	487	mean	1	ROM
0.1	-0.109027723265764	-0.157141887511242	-0.0609135590202869	487	mean	1	ROM
0.15	-0.113530962689551	-0.162538684405045	-0.0645232409740563	487	mean	1	ROM
0.15	-0.110813293579993	-0.159865393283744	-0.0617611938762421	487	mean	1	ROM
0.2	-0.112409994316603	-0.163063138028576	-0.0617568506046294	487	mean	1	ROM
0.2	-0.113022226399458	-0.162786915197838	-0.0632575376010784	487	mean	1	ROM
0.25	-0.110258995294949	-0.160053870151493	-0.060464120438405	487	mean	1	ROM
0.25	-0.103713722640915	-0.153016693726837	-0.0544107515549927	487	mean	1	ROM
0.3	-0.114324262868129	-0.16482514067361	-0.0638233850626473	487	mean	1	ROM
0.3	-0.115076344078132	-0.166657873460911	-0.0634948146953526	487	mean	1	ROM
0.35	-0.0971341445677876	-0.146050751487404	-0.0482175376481707	487	mean	1	ROM
0.35	-0.115403829326727	-0.16695630099252	-0.0638513576609333	487	mean	1	ROM
0.4	-0.114978014456593	-0.167487612054892	-0.0624684168582949	487	mean	1	ROM
0.4	-0.115785569969752	-0.167282142448416	-0.0642889974910875	487	mean	1	ROM
0.45	-0.114281176318721	-0.167685581110695	-0.0608767715267463	487	mean	1	ROM
0.45	-0.111936884138137	-0.159787612440128	-0.064086155836147	487	mean	1	ROM
0.5	-0.114221670230355	-0.16841092180368	-0.0600324186570303	487	mean	1	ROM
0.5	-0.114016037460326	-0.167277583905605	-0.060754491015048	487	mean	1	ROM
0.55	-0.122108616664958	-0.175273182129726	-0.0689440512001903	487	mean	1	ROM
0.55	-0.115406107406553	-0.168529745434249	-0.0622824693788571	487	mean	1	ROM
0.6	-0.114657798038267	-0.168484155129712	-0.0608314409468214	487	mean	1	ROM
0.6	-0.105818942967885	-0.159204818623803	-0.0524330673119661	487	mean	1	ROM
0.65	-0.102634319069968	-0.151341288344285	-0.0539273497956512	487	mean	1	ROM
0.65	-0.112537368967662	-0.16790570622062	-0.0571690317147034	487	mean	1	ROM
0.7	-0.103195277647732	-0.152822357872693	-0.05356819742277	487	mean	1	ROM
0.7	-0.107607328874917	-0.162279215636892	-0.0529354421129416	487	mean	1	ROM
0.75	-0.107648805289222	-0.161540462472605	-0.0537571481058391	487	mean	1	ROM
0.75	-0.0997928767524897	-0.148211978660098	-0.0513737748448818	487	mean	1	ROM
0.8	-0.10071682027189	-0.152289810653905	-0.049143829889876	487	mean	1	ROM
0.8	-0.117911675421852	-0.175010384128561	-0.0608129667151427	487	mean	1	ROM
0.85	-0.0924426441043351	-0.142754237103302	-0.0421310511053677	487	mean	1	ROM
0.85	-0.0827498742290357	-0.13014442120339	-0.0353553272546817	487	mean	1	ROM
0.9	-0.0887702175794067	-0.136715367951297	-0.0408250672075165	487	mean	1	ROM
