deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size	full_grand_mean	full_grand_mean_lb	full_grand_mean_ub	full_sample_size_for_rma_calc
0.11	-0.100538876769582	-0.150408855530301	-0.0506688980088629	433	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.12	-0.0955014961879311	-0.146109640428006	-0.0448933519478563	429	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.12	-0.113753016409138	-0.164528258404249	-0.0629777744140265	429	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.13	-0.101966727350288	-0.152126721423821	-0.0518067332767546	424	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.13	-0.112150945791615	-0.162908441378588	-0.0613934502046422	424	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.14	-0.109952967816683	-0.161324361399479	-0.0585815742338864	419	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.14	-0.0921241373597499	-0.142833412308909	-0.0414148624105907	419	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.15	-0.113466206514561	-0.165820136073231	-0.0611122769558905	414	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.15	-0.0929620451008457	-0.142259988438734	-0.0436641017629568	414	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.16	-0.114127059670926	-0.167326349186584	-0.0609277701552669	409	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.16	-0.10326862946941	-0.155402983564629	-0.0511342753741904	409	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.17	-0.122104370106614	-0.17469225342258	-0.0695164867906472	404	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.17	-0.0999489056992552	-0.151553927858887	-0.0483438835396237	404	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.18	-0.0960615061800332	-0.14972308078592	-0.0423999315741463	399	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.18	-0.104746409210785	-0.156476294835236	-0.053016523586334	399	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.19	-0.107180015885953	-0.160925229543312	-0.0534348022285944	394	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.19	-0.102769625367458	-0.148516694486338	-0.0570225562485781	394	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.2	-0.0839692431773072	-0.134600143699696	-0.0333383426549183	390	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.2	-0.103934734974733	-0.156000092869965	-0.051869377079501	390	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.21	-0.11849050018828	-0.172102717451904	-0.0648782829246556	385	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.21	-0.0905230392891744	-0.137335389029741	-0.0437106895486074	385	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.22	-0.0954283112969711	-0.151087670537564	-0.0397689520563787	380	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.22	-0.116563696734976	-0.171862110554746	-0.0612652829152057	380	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.23	-0.107080075066551	-0.153000725321932	-0.0611594248111699	375	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.23	-0.113048866454112	-0.16903820671425	-0.0570595261939742	375	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.24	-0.0864651584913835	-0.129870610345463	-0.0430597066373044	370	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.24	-0.100986648999138	-0.155833402558178	-0.0461398954400991	370	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.25	-0.112565153961269	-0.16889198781115	-0.0562383201113894	365	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
0.25	-0.109750987246142	-0.160247322287134	-0.0592546522051502	365	na.omit	1	ROM	-0.104992925608386	-0.151562333390362	-0.0584235178264109	487
