deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.15	-0.111446433188185	-0.192281541580405	-0.0306113247959647	207	na.omit	0.5	ROM
0.15	-0.0891473945915909	-0.163588995909073	-0.0147057932741089	207	na.omit	0.5	ROM
0.16	-0.0946261680583023	-0.171669959039062	-0.0175823770775421	204	na.omit	0.5	ROM
0.16	-0.0626317441083805	-0.12323785880796	-0.00202562940880122	204	na.omit	0.5	ROM
0.17	-0.132499044162031	-0.213217622682803	-0.0517804656412586	202	na.omit	0.5	ROM
0.17	-0.123889879118536	-0.201632609827709	-0.0461471484093629	202	na.omit	0.5	ROM
0.18	-0.170678668306584	-0.239536476901199	-0.10182085971197	199	na.omit	0.5	ROM
0.18	-0.0840643146422329	-0.143240918960659	-0.0248877103238072	199	na.omit	0.5	ROM
0.19	-0.108036730577902	-0.197767195900208	-0.0183062652555957	197	na.omit	0.5	ROM
0.19	-0.0993648555934149	-0.176912125128957	-0.0218175860578724	197	na.omit	0.5	ROM
0.2	-0.113817719411372	-0.199268168030513	-0.0283672707922324	194	na.omit	0.5	ROM
0.2	-0.152705350928397	-0.249397590133652	-0.0560131117231416	194	na.omit	0.5	ROM
0.21	-0.12158014782943	-0.210307205229562	-0.0328530904292984	192	na.omit	0.5	ROM
0.21	-0.0880738868007208	-0.172132065767897	-0.00401570783354414	192	na.omit	0.5	ROM
0.22	-0.0549427646379887	-0.132026178038615	0.022140648762638	190	na.omit	0.5	ROM
0.22	-0.111878305836925	-0.179079095800183	-0.0446775158736673	190	na.omit	0.5	ROM
0.23	-0.147046902623388	-0.21849009035375	-0.0756037148930251	187	na.omit	0.5	ROM
0.23	-0.115734639757321	-0.201443348301411	-0.0300259312132306	187	na.omit	0.5	ROM
0.24	-0.121583258307028	-0.207500789837376	-0.0356657267766803	185	na.omit	0.5	ROM
0.24	-0.0516474747184499	-0.110043034287631	0.00674808485073111	185	na.omit	0.5	ROM
0.25	-0.0808580454928997	-0.150596323033288	-0.0111197679525116	182	na.omit	0.5	ROM
0.25	-0.100846412385369	-0.173185107382373	-0.0285077173883651	182	na.omit	0.5	ROM
0.26	-0.0861615674138196	-0.161671374863943	-0.0106517599636962	180	na.omit	0.5	ROM
0.26	-0.119628844169328	-0.212383416249099	-0.0268742720895557	180	na.omit	0.5	ROM
0.27	-0.118746585071107	-0.193363043377494	-0.0441301267647201	177	na.omit	0.5	ROM
0.27	-0.093933888330576	-0.16430235533179	-0.0235654213293616	177	na.omit	0.5	ROM
0.28	-0.0631849661856367	-0.128285863386962	0.00191593101568913	175	na.omit	0.5	ROM
0.28	-0.172514323611397	-0.266206934326961	-0.078821712895832	175	na.omit	0.5	ROM
0.29	-0.17485314370955	-0.262392698108458	-0.0873135893106411	173	na.omit	0.5	ROM
0.29	-0.0387960117092098	-0.102674580022516	0.025082556604096	173	na.omit	0.5	ROM
0.3	-0.122444358028733	-0.215901254110037	-0.0289874619474288	170	na.omit	0.5	ROM
0.3	-0.0672318697498645	-0.130902986936391	-0.00356075256333835	170	na.omit	0.5	ROM
0.31	-0.146789827772322	-0.233894960512683	-0.0596846950319617	168	na.omit	0.5	ROM
0.31	-0.148179130439687	-0.246265604246971	-0.0500926566324022	168	na.omit	0.5	ROM
0.32	-0.125493994341173	-0.192488672099451	-0.0584993165828954	165	na.omit	0.5	ROM
0.32	-0.155375786414602	-0.238760153318054	-0.0719914195111491	165	na.omit	0.5	ROM
0.33	-0.192696172477185	-0.30532785241489	-0.0800644925394798	163	na.omit	0.5	ROM
0.33	-0.114291819176295	-0.182113147870845	-0.046470490481745	163	na.omit	0.5	ROM
0.34	-0.0400376326677518	-0.101864738049247	0.0217894727137433	160	na.omit	0.5	ROM
0.34	-0.140567429411572	-0.230452613178701	-0.0506822456444429	160	na.omit	0.5	ROM
0.35	-0.122734747149227	-0.215179295261027	-0.0302901990374266	158	na.omit	0.5	ROM
0.35	-0.0946345115668001	-0.166746910758526	-0.0225221123750746	158	na.omit	0.5	ROM
0.36	-0.122941519869824	-0.199937443456614	-0.0459455962830344	156	na.omit	0.5	ROM
0.36	-0.113893433342461	-0.196246535943091	-0.0315403307418316	156	na.omit	0.5	ROM
0.37	-0.114828382483725	-0.187505496381528	-0.0421512685859217	153	na.omit	0.5	ROM
0.37	-0.104813082970114	-0.175358683210642	-0.0342674827295853	153	na.omit	0.5	ROM
0.38	-0.0923956363349786	-0.166851021222219	-0.017940251447738	151	na.omit	0.5	ROM
0.38	-0.074589465318446	-0.144014328840829	-0.00516460179606314	151	na.omit	0.5	ROM
0.39	-0.148955369677655	-0.231464511077256	-0.0664462282780554	148	na.omit	0.5	ROM
0.39	-0.0522164981675641	-0.133744032197778	0.0293110358626497	148	na.omit	0.5	ROM
0.4	-0.101146364070419	-0.173261006254568	-0.0290317218862707	146	na.omit	0.5	ROM
0.4	-0.129115112457004	-0.21139017945776	-0.0468400454562485	146	na.omit	0.5	ROM
0.41	-0.168318785923866	-0.277893913439344	-0.0587436584083875	143	na.omit	0.5	ROM
0.41	-0.107355990351945	-0.166923121001638	-0.0477888597022507	143	na.omit	0.5	ROM
0.42	-0.138652423054975	-0.219478812049748	-0.057826034060202	141	na.omit	0.5	ROM
0.42	-0.11452102086434	-0.19822304808702	-0.0308189936416595	141	na.omit	0.5	ROM
0.43	-0.0841031975103329	-0.150056837232573	-0.018149557788093	139	na.omit	0.5	ROM
0.43	-0.147945323960105	-0.243211440706383	-0.0526792072138279	139	na.omit	0.5	ROM
0.44	-0.0591556521608956	-0.137534554258532	0.0192232499367408	136	na.omit	0.5	ROM
0.44	-0.107863044863049	-0.174679809508922	-0.0410462802171761	136	na.omit	0.5	ROM
0.45	-0.131480605103939	-0.213907585740856	-0.0490536244670217	134	na.omit	0.5	ROM
0.45	-0.100067109039251	-0.168728758830838	-0.0314054592476643	134	na.omit	0.5	ROM
0.46	-0.0940499022359073	-0.177478986955878	-0.0106208175159366	131	na.omit	0.5	ROM
0.46	-0.114190259024616	-0.22192297269807	-0.00645754535116137	131	na.omit	0.5	ROM
0.47	-0.0933399552991748	-0.169031696883638	-0.0176482137147116	129	na.omit	0.5	ROM
0.47	-0.100416667958477	-0.160963164273773	-0.0398701716431801	129	na.omit	0.5	ROM
0.48	-0.12659576456413	-0.217637399521794	-0.0355541296064652	126	na.omit	0.5	ROM
0.48	-0.111372459597349	-0.199738533631827	-0.023006385562871	126	na.omit	0.5	ROM
0.49	-0.144020977660338	-0.263647238026695	-0.0243947172939813	124	na.omit	0.5	ROM
0.49	-0.0871584109548676	-0.179797670846727	0.00548084893699168	124	na.omit	0.5	ROM
0.5	-0.0450121132811355	-0.114182696318117	0.0241584697558464	121	na.omit	0.5	ROM
0.5	-0.0772453154778378	-0.151871221369773	-0.00261940958590297	121	na.omit	0.5	ROM
0.51	-0.0495593773366571	-0.11948477942717	0.0203660247538554	119	na.omit	0.5	ROM
0.51	-0.0398107150936237	-0.0976324957050575	0.0180110655178101	119	na.omit	0.5	ROM
0.52	-0.0130705199824211	-0.0960325489250879	0.0698915089602457	117	na.omit	0.5	ROM
0.52	-0.110984631759325	-0.185283739068769	-0.0366855244498819	117	na.omit	0.5	ROM
0.53	-0.0438441637713081	-0.109196646094336	0.0215083185517193	114	na.omit	0.5	ROM
0.53	-0.112452209364901	-0.21296017145402	-0.0119442472757824	114	na.omit	0.5	ROM
0.54	-0.0607587686780678	-0.145421775454885	0.0239042380987495	112	na.omit	0.5	ROM
0.54	-0.126691080844542	-0.216948179921996	-0.0364339817670868	112	na.omit	0.5	ROM
0.55	-0.160975942169178	-0.247614811819075	-0.0743370725192815	109	na.omit	0.5	ROM
0.55	-0.0901230817480751	-0.168827705615007	-0.0114184578811431	109	na.omit	0.5	ROM
0.56	-0.128203717397571	-0.2292429924138	-0.0271644423813426	107	na.omit	0.5	ROM
0.56	-0.259373639339797	-0.372838139607208	-0.145909139072387	107	na.omit	0.5	ROM
0.57	-0.059711156413761	-0.149808801810997	0.0303864889834744	104	na.omit	0.5	ROM
0.57	-0.118429192398667	-0.216896198927155	-0.0199621858701784	104	na.omit	0.5	ROM
0.58	-0.0963945434661744	-0.198922925355008	0.00613383842265958	102	na.omit	0.5	ROM
0.58	-0.113630992316397	-0.201185454699348	-0.0260765299334458	102	na.omit	0.5	ROM
0.59	-0.0545281191530713	-0.132743265095149	0.0236870267890066	100	na.omit	0.5	ROM
0.59	-0.0989566656668261	-0.184356666468518	-0.0135566648651348	100	na.omit	0.5	ROM
0.6	-0.0995401169349707	-0.202990937012787	0.00391070314284567	97	na.omit	0.5	ROM
